city,condition,replicate,section,check_type,matched_sentence,detail,label,verification_status
brighton,full,3,Geographic Distribution,CS-5,"BN3’s low count may indicate limited access to infrastructure or lower participation rates, though further analysis is hindered by the absence of per capita FSI density data, which requires census population figures.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,3,Geographic Distribution,CS-5,"BN3’s low count may indicate limited access to infrastructure or lower participation rates, though further analysis is hindered by the absence of per capita FSI density data, which requires census population figures.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,3,Geographic Distribution,CS-5,The lack of per capita data also limits understanding of whether BN2’s high count reflects proportionate engagement or overrepresentation relative to its population.,"matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,b1,1,Geographic Distribution,CS-5,"The lack of per capita FSI density data limits analysis of proportional engagement, but the use of official postcode boundary polygons and GPS coordinates ensures spatial accuracy in district categorizations.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,b1,1,Operational and Funding Models,CS-1,"All 76 FSIs are non-commercial, with 29 (38%) operating entirely on volunteer labor and 27 (36%) relying on crowdfunding or donations.","stated 76 (38%) vs report total=76: predicted 100.00%, diff 62.00pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
brighton,b1,2,Geographic Distribution,CS-5,"BN2’s 46 FSIs, compared to BN1’s 22 and BN3’s 8, suggest a strong correlation between population density and initiative proliferation, though this remains unverified due to the absence of per capita FSI data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,b1,2,Geographic Distribution,CS-5,"The lack of census population data limits deeper insights into FSI accessibility per resident, leaving implications for equity in food sharing unexplored.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,b1,3,Geographic Distribution,CS-5,"BN2’s 46 FSIs, compared to BN1’s 22 and BN3’s 8, suggest a strong correlation between population density and initiative proliferation, though this remains unverified due to the absence of per capita FSI data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,b1,3,Geographic Distribution,CS-5,"The lack of census population data limits deeper insights into FSI accessibility per resident, leaving implications for equity in food sharing unexplored.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,1,Geographic Distribution,CS-5,"The data gap regarding FSI density per capita underscores the need for population-adjusted analysis, as current counts may overrepresent densely populated areas while underrepresenting sparsely populated ones.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,1,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) integrate sustainability-focused practices, and 31 include educational components, underscoring a growing alignment between food sharing and broader social and environmental goals.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,full,2,Geographic Distribution,CS-5,"This uneven distribution may reflect differences in population density, community engagement, or resource availability, though data gaps in per capita FSI density—due to the absence of census population data—limit deeper analysis.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,2,Geographic Distribution,CS-5,"This uneven distribution may reflect differences in population density, community engagement, or resource availability, though data gaps in per capita FSI density—due to the absence of census population data—limit deeper analysis.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,2,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) incorporate sustainability as a core focus, while 31 integrate educational components, suggesting a widespread emphasis on both environmental and social learning outcomes.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,full,3,Geographic Distribution,CS-5,"This uneven distribution may reflect differences in population density, community engagement, or resource availability, though data gaps in per capita FSI density—due to the absence of census population data—limit deeper analysis.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,3,Geographic Distribution,CS-5,"This uneven distribution may reflect differences in population density, community engagement, or resource availability, though data gaps in per capita FSI density—due to the absence of census population data—limit deeper analysis.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,full,3,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) incorporate sustainability as a core focus, while 31 integrate educational components, suggesting a widespread emphasis on both environmental and social learning outcomes.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,1,Geographic Distribution,CS-5,"The absence of per capita FSI density data limits analysis of equity in access, but the stark contrast between districts with 15 FSIs (e.g., Dublin 2) and those with only one (e.g., Glenageary) implies uneven resource allocation or varying local demand.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,b1,1,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) incorporate sustainability as a core focus, while 31 integrate educational components, indicating a widespread commitment to both environmental and social objectives.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,1,Reach and Activity,CS-2,"Target audiences are distributed across low-income (7), students (15), general public (42), elderly (43), and children (19), with the general and elderly populations being the most frequently cited.",keyword 'most' near 19 -> 27.54% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,2,Geographic Distribution,CS-5,"The absence of per capita FSI density data limits deeper analysis, but the existing distribution implies that high-density areas benefit from greater organizational capacity or demand.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,b1,2,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) incorporate sustainability as a core focus, and 31 include educational components, indicating a strong emphasis on both environmental and learning outcomes.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,2,Reach and Activity,CS-2,"Target audiences are distributed across low-income (7), students (15), general public (42), elderly (43), and children (19), with the general and elderly populations being the most frequently cited.",keyword 'most' near 19 -> 27.54% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,3,Geographic Distribution,CS-5,"The absence of per capita FSI density data limits deeper analysis, but the existing distribution implies that high-density areas benefit from greater organizational capacity or demand.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
dublin,b1,3,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (33) incorporate sustainability as a core focus, and 31 include educational components, indicating a strong emphasis on both environmental and learning outcomes.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),CANDIDATE,UNVERIFIED
dublin,b1,3,Reach and Activity,CS-2,"Target audiences are distributed across low-income (7), students (15), general public (42), elderly (43), and children (19), with the general and elderly populations being the most frequently cited.",keyword 'most' near 19 -> 27.54% of total=69 (<=50%),CANDIDATE,UNVERIFIED
london,full,1,Geographic Distribution,CS-5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,1,Geographic Distribution,CS-5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 220,000' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,1,Geographic Distribution,CS-5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,1,Geographic Distribution,CS-5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 330,000' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,1,Geographic Distribution,CS-5,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,1,Operational and Funding Models,CS-2,"London hosts 106 Food Sharing Initiatives (FSIs), with the majority (43) being community-led grassroots efforts and 104 operating on a non-commercial basis, relying on voluntary or charitable work.",keyword 'majority' near 43 -> 40.57% of total=106 (<=50%),CANDIDATE,UNVERIFIED
london,full,2,Geographic Distribution,CS-5,"Notably, the data lacks per capita density metrics, as census population data is required to assess initiative density relative to district populations.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,2,Geographic Distribution,CS-5,"Notably, the data lacks per capita density metrics, as census population data is required to assess initiative density relative to district populations.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,2,Geographic Distribution,CS-5,"The absence of per capita data limits analysis of FSI accessibility, as high-density areas may have more initiatives but also higher population needs.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,3,Geographic Distribution,CS-5,"Notably, the data lacks per capita density metrics, as census population data is required to assess initiative density relative to district populations.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,3,Geographic Distribution,CS-5,"Notably, the data lacks per capita density metrics, as census population data is required to assess initiative density relative to district populations.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,full,3,Geographic Distribution,CS-5,"The absence of per capita data limits analysis of FSI accessibility, as high-density areas may have more initiatives but also higher population needs.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,b1,1,Geographic Distribution,CS-4,"The disparity between green and red districts is stark: green districts, which include 7 of the top 10 FSI-hosting areas, account for 57% of all FSIs, whereas red districts, despite covering more geographic area, host only 12%.","constituents (7+10)=sum 17, total=106: predicted 16.04%, claimed 57%, diff 40.96pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
london,b1,1,Geographic Distribution,CS-5,"Notably, the data gap in per capita FSI density—due to missing census population data—prevents a precise assessment of equity in access across districts.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,b1,1,Geographic Distribution,CS-5,"Notably, the data gap in per capita FSI density—due to missing census population data—prevents a precise assessment of equity in access across districts.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,b1,1,Types of Food Sharing Initiatives,CS-2,"London hosts 106 Food Sharing Initiatives (FSIs), with the most common types being community gardens (18, 17.0%), food banks (17, 16.0%), and food-sharing programs (12, 11.3%).",keyword 'most' near 18 -> 16.98% of total=106 (<=50%),CANDIDATE,UNVERIFIED
london,b1,1,Operational and Funding Models,CS-2,"The majority (39) rely on volunteer labor, and 33 incorporate crowdfunding or donations, highlighting a strong dependence on informal and community-driven resources.",keyword 'majority' near 39 -> 36.79% of total=106 (<=50%),CANDIDATE,UNVERIFIED
london,b1,2,Geographic Distribution,CS-5,"However, the absence of per capita data limits analysis of whether density alone drives initiative proliferation or if other factors, such as local policy or community engagement, play a role.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,b1,2,Types of Food Sharing Initiatives,CS-2,"London hosts 106 Food Sharing Initiatives (FSIs), with the majority (22, or 20.8%) classified as ""unknown"" due to incomplete data, while community gardens (18, 17.0%) and food banks (17, 16.0%) represent the largest identifiable categories.",keyword 'majority' near 22 -> 20.75% of total=106 (<=50%),CANDIDATE,UNVERIFIED
london,b1,3,Geographic Distribution,CS-5,"However, the absence of per capita data limits analysis of whether density alone drives initiative proliferation or if other factors, such as local policy or community engagement, play a role.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
london,b1,3,Types of Food Sharing Initiatives,CS-2,"London hosts 106 Food Sharing Initiatives (FSIs), with the majority (22, or 20.8%) classified as ""unknown"" due to incomplete data, while community gardens (18, 17.0%) and food banks (17, 16.0%) represent the largest identifiable categories.",keyword 'majority' near 22 -> 20.75% of total=106 (<=50%),CANDIDATE,UNVERIFIED
milan,full,1,Geographic Distribution,CS-4,"Milan hosts 147 Food Sharing Initiatives (FSIs) across nine postal districts, with the highest concentrations in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which collectively account for 34% of all initiatives.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
milan,full,1,Geographic Distribution,CS-5,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,1,Geographic Distribution,CS-5,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,1,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (71, 48.3%) incorporate sustainability as a core focus, while 24 (16.3%) integrate educational components, reflecting a growing emphasis on environmental and social learning.",keyword 'Over half' near 71 -> 48.30% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,1,Reach and Activity,CS-2,"Milan hosts 104 high-activity food sharing initiatives (FSIs), representing the majority of all quantified FSIs in the city, while 43 low-activity FSIs remain operational, indicating a stark disparity in engagement levels.",keyword 'majority' near 43 -> 29.25% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,1,Reach and Activity,CS-2,"Among target audiences, elderly-focused initiatives are most prevalent, with 32 FSIs explicitly mentioning this group, followed by students (14) and general audiences (8), while only 2 FSIs target children.",keyword 'most' near 32 -> 21.77% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,2,Geographic Distribution,CS-4,"Milan hosts 147 Food Sharing Initiatives (FSIs) across its nine postal districts, with the highest concentrations found in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which together account for 34% of all initiatives.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
milan,full,2,Geographic Distribution,CS-5,"Notably, the absence of per capita FSI density data—due to a reliance on census population figures—limits the ability to assess whether high-count districts are proportionally more active or simply larger in area.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,2,Geographic Distribution,CS-5,"Notably, the absence of per capita FSI density data—due to a reliance on census population figures—limits the ability to assess whether high-count districts are proportionally more active or simply larger in area.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,2,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (71, 48.3%) incorporate sustainability as a core focus, while 24 (16.3%) integrate educational components, reflecting a growing emphasis on environmental and social learning.",keyword 'Over half' near 71 -> 48.30% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,2,Reach and Activity,CS-2,"Milan hosts 104 high-activity food sharing initiatives (FSIs), representing the majority of all quantified FSIs in the city, while 43 low-activity FSIs remain operational, indicating a stark disparity in engagement levels.",keyword 'majority' near 43 -> 29.25% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,2,Reach and Activity,CS-2,"Among target audiences, elderly-focused initiatives are most prevalent, with 32 FSIs explicitly mentioning this group, followed by students (14) and general audiences (8), while only 2 FSIs target children.",keyword 'most' near 32 -> 21.77% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,3,Geographic Distribution,CS-4,"Milan hosts 147 Food Sharing Initiatives (FSIs) across its nine postal districts, with the highest concentrations found in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which together account for 34% of all initiatives.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
milan,full,3,Geographic Distribution,CS-5,"Notably, the absence of per capita FSI density data—due to a reliance on census population figures—limits the ability to assess whether high-count districts are proportionally more active or simply larger in area.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,3,Geographic Distribution,CS-5,"Notably, the absence of per capita FSI density data—due to a reliance on census population figures—limits the ability to assess whether high-count districts are proportionally more active or simply larger in area.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
milan,full,3,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (71, 48.3%) incorporate sustainability as a core focus, while 24 (16.3%) integrate educational components, reflecting a growing emphasis on environmental and social learning.",keyword 'Over half' near 71 -> 48.30% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,3,Reach and Activity,CS-2,"Milan hosts 104 high-activity food sharing initiatives (FSIs), representing the majority of all quantified FSIs in the city, while 43 low-activity FSIs remain operational, indicating a stark disparity in engagement levels.",keyword 'majority' near 43 -> 29.25% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,full,3,Reach and Activity,CS-2,"Among target audiences, elderly-focused initiatives are most prevalent, with 32 FSIs explicitly mentioning this group, followed by students (14) and general audiences (8), while only 2 FSIs target children.",keyword 'most' near 32 -> 21.77% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,b1,1,Geographic Distribution,CS-4,"Milan hosts 147 Food Sharing Initiatives (FSIs) across its nine postal districts, with the highest concentrations found in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which together account for 34% of all FSIs in the city.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
milan,b1,1,Geographic Distribution,CS-2,"For instance, Municipio 1, the most densely populated district, hosts 28 FSIs—nearly double the count of Municipio 4, a red district with 8 FSIs.",keyword 'most' near 28 -> 19.05% of total=147 (<=50%),CANDIDATE,UNVERIFIED
milan,b1,1,Geographic Distribution,CS-5,"This contrast underscores potential links between urban density and the feasibility of FSIs, though data gaps in per capita density analysis limit definitive conclusions.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
