id,city,section,quoted_claim,stated_value,correct_value,error_type,basis,VERDICT,MY_NOTE
M19,dublin,Operational,"46 community-led and the remaining 23 supported by government or local councils [then] Government-funded 10, council-supported 7",23,17,derived_incorrect,"10+7=17, not 23.",UNCLEAR,Either 23 is wrong as totall of government funded and local council or 17 is incorrect. There is no clear way to know which one. But it is true that the text is contradictory in this regard.
M20,dublin,Operational,no FSIs are NGO-led [then] only 13 are formally registered as NGOs or charities,-,-,internal_contradiction,Contradiction within one section.,TP,
M21,dublin,Geographic,Bar chart sums to 68 vs stated total 69,68,69,chart_text_mismatch,One FSI unaccounted for.,TP,
M22,brighton,Operational,"Among the 29 volunteer-based FSIs, 14 are informally run ... contrasting with 18 that are formally registered",14+18,<=29,derived_incorrect,14+18=32 > 29.,TP,
M23,brighton,Reach,"The In the Bag Project reaches 10,000+ individuals through food banks","10,000+",VERIFY,possible_fabrication,"Names a specific organisation with a specific figure. CHECK fsi_enriched.jsonl - if absent, full fabrication.",TP,
M24,brighton,Geographic,"The distribution aligns with official postcode boundary polygons, ensuring geographic accuracy",-,-,unverifiable_self_endorsement,Only 41 of 81 seed URLs had original coordinates; 76 FSIs assigned to districts.,TP,
M25,barcelona,Types,"only 12 FSIs (5.5%) integrate educational components [then] food_education FSIs (13, 5.5%)",12 vs 13,-,internal_contradiction,"Same section; 12/237=5.1%, 13/237=5.5%.",TP,the percentage is correct but one of the counts (12) is wrong
M26,barcelona,Operational,The 9 government-funded FSIs ... are formally registered (8) or supported by councils (6),8+6,<=9,derived_incorrect,8+6=14 > 9.,TP,"If 9 is government funded true then 8 and 6 are wrong, if 8+6=14 is true then 9 is wrong"
M27,barcelona,Operational,"NGO-led FSIs often engage in broader networks, with 1 initiative affiliated with known food networks, compared to 2 community groups that are informally run",-,-,incoherent_comparison,The two figures are not comparable quantities.,UNCLEAR,"it is true that a known food network compared to informally run community group has a broader network but the comparison can not be done based on only 1 of 46 NGO led FSIs being a food network in compare to 2 of community led FSIs being informal, since the others are unknows it is difficult to claim this comparison.  "
M28,barcelona,Geographic,District map sums to 202 vs stated total 237,202,237,chart_text_mismatch,"35 FSIs outside all district polygons, unacknowledged.",UNCLEAR,"The error on numbers are true, the numbers do not match, but they are not wrong. There is 237 FSIs in Barcelona but 35 FSIs does not fall into any districts because of 2 decimal coordinates, which is an issue of the data not the report. It has been stated in the thesis section when describing the data. So the report is correct but this is a data problem. "
M29,barcelona,Reach,"total quantified volume of 2,087 units",2087,-,implausible_unremarked,Barcelona 237 FSIs -> 2087 units; Milan 147 -> 31308. ~15x per-FSI discrepancy.,UNCLEAR,there is no way for me to verify if this is an error or no
M30,ALL,Digital,All N FSIs maintain a digital presence,-,-,tautology,True by construction: a scrapeable web page is the inclusion criterion.,FP,
M31,ALL,Header,City hosts N Food Sharing Initiatives,-,-,corpus_vs_world,N equals surviving URL count exactly in all 5 cities (r=1.000).,FP,
