city,system,section_heading,sentence,raw_number,parsed_value,is_percentage,label,justification
barcelona,pipeline,Geographic Distribution,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",24,24.0,False,AUDITABLE_DERIVED,sum(10+14)=24
barcelona,pipeline,Geographic Distribution,"In contrast, ""yellow"" (medium-density) districts like Sarrià-Sant Gervasi (26) and Gràcia (14) show intermediate activity, with Gràcia’s 14 FSIs slightly below the green districts but still above the red group.",26,26.0,False,AUDITABLE_DIRECT,exact match to evidence value 26
barcelona,pipeline,Geographic Distribution,"In contrast, ""yellow"" (medium-density) districts like Sarrià-Sant Gervasi (26) and Gràcia (14) show intermediate activity, with Gràcia’s 14 FSIs slightly below the green districts but still above the red group.",14,14.0,False,AUDITABLE_DIRECT,exact match to evidence value 14
barcelona,pipeline,Geographic Distribution,"In contrast, ""yellow"" (medium-density) districts like Sarrià-Sant Gervasi (26) and Gràcia (14) show intermediate activity, with Gràcia’s 14 FSIs slightly below the green districts but still above the red group.",14,14.0,False,AUDITABLE_DIRECT,exact match to evidence value 14
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",237,237.0,False,AUDITABLE_DIRECT,exact match to evidence value 237
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",62,62.0,False,AUDITABLE_DIRECT,exact match to evidence value 62
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",26.2%,26.2,True,AUDITABLE_DIRECT,exact match to evidence value 26.2
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",49,49.0,False,AUDITABLE_DIRECT,exact match to evidence value 49
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",20.7%,20.7,True,AUDITABLE_DIRECT,exact match to evidence value 20.7
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",41,41.0,False,AUDITABLE_DIRECT,exact match to evidence value 41
barcelona,pipeline,Types of Food Sharing Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (62, 26.2%), followed by ""unknown"" (49, 20.7%) and ""community_garden"" (41, 17.3%).",17.3%,17.3,True,AUDITABLE_DIRECT,exact match to evidence value 17.3
barcelona,pipeline,Types of Food Sharing Initiatives,"The most prominent focus area is sustainability, with 123 FSIs (51.9% of the total) explicitly emphasizing environmental goals, while 105 FSIs (44.3%) organize events or workshops, indicating a strong emphasis on community engagement.",123,123.0,False,AUDITABLE_DIRECT,exact match to evidence value 123
barcelona,pipeline,Types of Food Sharing Initiatives,"The most prominent focus area is sustainability, with 123 FSIs (51.9% of the total) explicitly emphasizing environmental goals, while 105 FSIs (44.3%) organize events or workshops, indicating a strong emphasis on community engagement.",51.9%,51.9,True,AUDITABLE_DERIVED,123/237(total)*100=51.90 (within 0.55pp of 51.9)
barcelona,pipeline,Types of Food Sharing Initiatives,"The most prominent focus area is sustainability, with 123 FSIs (51.9% of the total) explicitly emphasizing environmental goals, while 105 FSIs (44.3%) organize events or workshops, indicating a strong emphasis on community engagement.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,pipeline,Types of Food Sharing Initiatives,"The most prominent focus area is sustainability, with 123 FSIs (51.9% of the total) explicitly emphasizing environmental goals, while 105 FSIs (44.3%) organize events or workshops, indicating a strong emphasis on community engagement.",44.3%,44.3,True,AUDITABLE_DERIVED,105/237(total)*100=44.30 (within 0.55pp of 44.3)
barcelona,pipeline,Types of Food Sharing Initiatives,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",33,33.0,False,AUDITABLE_DIRECT,exact match to evidence value 33
barcelona,pipeline,Types of Food Sharing Initiatives,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",13.9%,13.9,True,AUDITABLE_DIRECT,exact match to evidence value 13.9
barcelona,pipeline,Types of Food Sharing Initiatives,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",17,17.0,False,AUDITABLE_DIRECT,exact match to evidence value 17
barcelona,pipeline,Types of Food Sharing Initiatives,"Food_sharing initiatives (33, 13.9%) and meals_service programs (17, 7.2%) represent smaller but distinct subgroups, reflecting diverse approaches to food redistribution and consumption.",7.2%,7.2,True,AUDITABLE_DIRECT,exact match to evidence value 7.2
barcelona,pipeline,Types of Food Sharing Initiatives,"Notably, only 12 FSIs (5.5%) integrate educational components, suggesting a gap between outreach efforts and formal learning opportunities within the sector.",12,12.0,False,AUDITABLE_DIRECT,exact match to evidence value 12
barcelona,pipeline,Types of Food Sharing Initiatives,"Notably, only 12 FSIs (5.5%) integrate educational components, suggesting a gap between outreach efforts and formal learning opportunities within the sector.",5.5%,5.5,True,AUDITABLE_DIRECT,exact match to evidence value 5.5
barcelona,pipeline,Types of Food Sharing Initiatives,"The disparity between sustainability-focused FSIs (123) and those with educational components (12) highlights uneven resource allocation across objectives, with the former outnumbering the latter by over tenfold.",123,123.0,False,AUDITABLE_DIRECT,exact match to evidence value 123
barcelona,pipeline,Types of Food Sharing Initiatives,"The disparity between sustainability-focused FSIs (123) and those with educational components (12) highlights uneven resource allocation across objectives, with the former outnumbering the latter by over tenfold.",12,12.0,False,AUDITABLE_DIRECT,exact match to evidence value 12
barcelona,pipeline,Types of Food Sharing Initiatives,"While 105 FSIs (44.3%) engage in events or workshops, this figure does not directly correlate with the 12 educational FSIs, implying that many event-based initiatives may lack structured pedagogical frameworks.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,pipeline,Types of Food Sharing Initiatives,"While 105 FSIs (44.3%) engage in events or workshops, this figure does not directly correlate with the 12 educational FSIs, implying that many event-based initiatives may lack structured pedagogical frameworks.",44.3%,44.3,True,AUDITABLE_DERIVED,105/237(total)*100=44.30 (within 0.55pp of 44.3)
barcelona,pipeline,Types of Food Sharing Initiatives,"While 105 FSIs (44.3%) engage in events or workshops, this figure does not directly correlate with the 12 educational FSIs, implying that many event-based initiatives may lack structured pedagogical frameworks.",12,12.0,False,AUDITABLE_DIRECT,exact match to evidence value 12
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",62,62.0,False,AUDITABLE_DIRECT,exact match to evidence value 62
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",26.2%,26.2,True,AUDITABLE_DIRECT,exact match to evidence value 26.2
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",11,11.0,False,AUDITABLE_DIRECT,exact match to evidence value 11
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",4.6%,4.6,True,AUDITABLE_DIRECT,exact match to evidence value 4.6
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",8,8.0,False,AUDITABLE_DIRECT,exact match to evidence value 8
barcelona,pipeline,Types of Food Sharing Initiatives,"The ""other"" category (62, 26.2%), though numerically dominant, remains the least defined in terms of specific activities, contrasting with the more clearly categorized ""food_bank"" (11, 4.6%) and ""food_swapping"" (8, 3.4%) initiatives.",3.4%,3.4,True,AUDITABLE_DIRECT,exact match to evidence value 3.4
barcelona,pipeline,Types of Food Sharing Initiatives,"Meanwhile, the relatively small number of food_education FSIs (13, 5.5%) underscores a potential underinvestment in long-term capacity-building, despite the 105 event-organizing FSIs suggesting a preference for short-term engagement strategies.",13,13.0,False,AUDITABLE_DIRECT,exact match to evidence value 13
barcelona,pipeline,Types of Food Sharing Initiatives,"Meanwhile, the relatively small number of food_education FSIs (13, 5.5%) underscores a potential underinvestment in long-term capacity-building, despite the 105 event-organizing FSIs suggesting a preference for short-term engagement strategies.",5.5%,5.5,True,AUDITABLE_DIRECT,exact match to evidence value 5.5
barcelona,pipeline,Types of Food Sharing Initiatives,"Meanwhile, the relatively small number of food_education FSIs (13, 5.5%) underscores a potential underinvestment in long-term capacity-building, despite the 105 event-organizing FSIs suggesting a preference for short-term engagement strategies.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,pipeline,Operational and Funding Models,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the majority (227, or 96%) being non-commercial, voluntary, or charity-based.",237,237.0,False,AUDITABLE_DIRECT,exact match to evidence value 237
barcelona,pipeline,Operational and Funding Models,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the majority (227, or 96%) being non-commercial, voluntary, or charity-based.",227,227.0,False,AUDITABLE_DERIVED,sum(74+123+30) [group=_scalar]=227
barcelona,pipeline,Operational and Funding Models,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the majority (227, or 96%) being non-commercial, voluntary, or charity-based.",96%,96.0,True,AUDITABLE_DERIVED,sum(123+105)/237(total)*100 [group=_scalar]=96.20 (within 0.55pp of 96)
barcelona,pipeline,Operational and Funding Models,"Of these, 74 are community-led grassroots efforts, 46 are NGO-led, and 9 are government-funded, highlighting a strong reliance on local and non-profit models.",74,74.0,False,AUDITABLE_DIRECT,exact match to evidence value 74
barcelona,pipeline,Operational and Funding Models,"Of these, 74 are community-led grassroots efforts, 46 are NGO-led, and 9 are government-funded, highlighting a strong reliance on local and non-profit models.",46,46.0,False,AUDITABLE_DIRECT,exact match to evidence value 46
barcelona,pipeline,Operational and Funding Models,"Of these, 74 are community-led grassroots efforts, 46 are NGO-led, and 9 are government-funded, highlighting a strong reliance on local and non-profit models.",9,9.0,False,AUDITABLE_DIRECT,exact match to evidence value 9
barcelona,pipeline,Operational and Funding Models,"Only 10 initiatives are commercial or social enterprises, while 3 are volunteer-based, underscoring the limited role of formal economic structures in this sector.",10,10.0,False,AUDITABLE_DIRECT,exact match to evidence value 10
barcelona,pipeline,Operational and Funding Models,"Only 10 initiatives are commercial or social enterprises, while 3 are volunteer-based, underscoring the limited role of formal economic structures in this sector.",3,3.0,False,AUDITABLE_DIRECT,exact match to evidence value 3
barcelona,pipeline,Operational and Funding Models,"The data also reveals that 47 FSIs operate under a cooperative model, suggesting a significant emphasis on collective ownership and shared governance.",47,47.0,False,AUDITABLE_DIRECT,exact match to evidence value 47
barcelona,pipeline,Operational and Funding Models,"Community-led initiatives (74) outnumber NGO-led ones (46), reflecting a preference for grassroots autonomy over institutional oversight.",74,74.0,False,AUDITABLE_DIRECT,exact match to evidence value 74
barcelona,pipeline,Operational and Funding Models,"Community-led initiatives (74) outnumber NGO-led ones (46), reflecting a preference for grassroots autonomy over institutional oversight.",46,46.0,False,AUDITABLE_DIRECT,exact match to evidence value 46
barcelona,pipeline,Operational and Funding Models,"However, NGO-led FSIs often engage in broader networks, with 1 initiative affiliated with known food networks, compared to 2 community groups that are informally run.",1,1.0,False,AUDITABLE_DIRECT,exact match to evidence value 1
barcelona,pipeline,Operational and Funding Models,"However, NGO-led FSIs often engage in broader networks, with 1 initiative affiliated with known food networks, compared to 2 community groups that are informally run.",2,2.0,False,AUDITABLE_DIRECT,exact match to evidence value 2
barcelona,pipeline,Operational and Funding Models,"The 9 government-funded FSIs, though fewer in number, are formally registered (8) or supported by councils (6), indicating a structured approach to oversight and resource allocation.",9,9.0,False,AUDITABLE_DIRECT,exact match to evidence value 9
barcelona,pipeline,Operational and Funding Models,"The 9 government-funded FSIs, though fewer in number, are formally registered (8) or supported by councils (6), indicating a structured approach to oversight and resource allocation.",8,8.0,False,AUDITABLE_DIRECT,exact match to evidence value 8
barcelona,pipeline,Operational and Funding Models,"The 9 government-funded FSIs, though fewer in number, are formally registered (8) or supported by councils (6), indicating a structured approach to oversight and resource allocation.",6,6.0,False,AUDITABLE_DIRECT,exact match to evidence value 6
barcelona,pipeline,Operational and Funding Models,"Notably, only 3 FSIs are volunteer-based, a small fraction of the total, which contrasts with the 227 non-commercial initiatives that likely rely on a mix of unpaid labor and donations.",3,3.0,False,AUDITABLE_DIRECT,exact match to evidence value 3
barcelona,pipeline,Operational and Funding Models,"Notably, only 3 FSIs are volunteer-based, a small fraction of the total, which contrasts with the 227 non-commercial initiatives that likely rely on a mix of unpaid labor and donations.",227,227.0,False,AUDITABLE_DERIVED,sum(74+123+30) [group=_scalar]=227
barcelona,pipeline,Reach and Activity,"Barcelona hosts 125 high-activity food sharing initiatives (FSIs), which outnumber the 112 low-activity FSIs by a significant margin, indicating a strong presence of active programs despite the absence of medium-activity FSIs.",125,125.0,False,AUDITABLE_DIRECT,exact match to evidence value 125
barcelona,pipeline,Reach and Activity,"Barcelona hosts 125 high-activity food sharing initiatives (FSIs), which outnumber the 112 low-activity FSIs by a significant margin, indicating a strong presence of active programs despite the absence of medium-activity FSIs.",112,112.0,False,AUDITABLE_DIRECT,exact match to evidence value 112
barcelona,pipeline,Reach and Activity,"Collectively, these initiatives reference a total quantified volume of 2087 units of food (meals, kilograms, or members), reflecting substantial operational scale.",2087,2087.0,False,AUDITABLE_DIRECT,exact match to evidence value 2087
barcelona,pipeline,Reach and Activity,"Notably, 30 FSIs collaborate with farms, restaurants, or stores, suggesting a critical role for commercial partnerships in sustaining food redistribution efforts.",30,30.0,False,AUDITABLE_DIRECT,exact match to evidence value 30
barcelona,pipeline,Reach and Activity,"Among target audiences, elderly individuals are prioritized by 36 FSIs, significantly more than the 23 FSIs targeting the general public, 8 focusing on low-income groups, and only 2 addressing students or children.",36,36.0,False,AUDITABLE_DIRECT,exact match to evidence value 36
barcelona,pipeline,Reach and Activity,"Among target audiences, elderly individuals are prioritized by 36 FSIs, significantly more than the 23 FSIs targeting the general public, 8 focusing on low-income groups, and only 2 addressing students or children.",23,23.0,False,AUDITABLE_DIRECT,exact match to evidence value 23
barcelona,pipeline,Reach and Activity,"Among target audiences, elderly individuals are prioritized by 36 FSIs, significantly more than the 23 FSIs targeting the general public, 8 focusing on low-income groups, and only 2 addressing students or children.",8,8.0,False,AUDITABLE_DIRECT,exact match to evidence value 8
barcelona,pipeline,Reach and Activity,"Among target audiences, elderly individuals are prioritized by 36 FSIs, significantly more than the 23 FSIs targeting the general public, 8 focusing on low-income groups, and only 2 addressing students or children.",2,2.0,False,AUDITABLE_DIRECT,exact match to evidence value 2
barcelona,pipeline,Reach and Activity,"Meanwhile, the 30 FSIs collaborating with commercial entities may indicate a strategic focus on reducing food waste through partnerships, contrasting with initiatives targeting specific vulnerable groups.",30,30.0,False,AUDITABLE_DIRECT,exact match to evidence value 30
barcelona,pipeline,Digital Presence and Accessibility,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), all of which maintain a digital presence as evidenced by website scraping data.",237,237.0,False,AUDITABLE_DIRECT,exact match to evidence value 237
barcelona,pipeline,Digital Presence and Accessibility,"Eighteen FSIs explicitly reference online or digital coordination methods in their operations, while 35 operate from physical locations, indicating a blend of virtual and in-person engagement.",35,35.0,False,AUDITABLE_DIRECT,exact match to evidence value 35
barcelona,pipeline,Digital Presence and Accessibility,"Among the 35 FSIs with physical locations, no data specifies their geographic distribution or capacity for community engagement, contrasting with the 18 digitally coordinated FSIs, which may rely on broader, less localized networks.",35,35.0,False,AUDITABLE_DIRECT,exact match to evidence value 35
barcelona,pipeline,Digital Presence and Accessibility,"Among the 35 FSIs with physical locations, no data specifies their geographic distribution or capacity for community engagement, contrasting with the 18 digitally coordinated FSIs, which may rely on broader, less localized networks.",18,18.0,False,AUDITABLE_DIRECT,exact match to evidence value 18
barcelona,pipeline,Notable Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the highest concentrations in Ciutat Vella (45 FSIs), Sants-Montjuïc (31 FSIs), and Eixample (29 FSIs), reflecting a strong regional focus on food redistribution.",237,237.0,False,AUDITABLE_DIRECT,exact match to evidence value 237
barcelona,pipeline,Notable Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the highest concentrations in Ciutat Vella (45 FSIs), Sants-Montjuïc (31 FSIs), and Eixample (29 FSIs), reflecting a strong regional focus on food redistribution.",45,45.0,False,AUDITABLE_DIRECT,exact match to evidence value 45
barcelona,pipeline,Notable Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the highest concentrations in Ciutat Vella (45 FSIs), Sants-Montjuïc (31 FSIs), and Eixample (29 FSIs), reflecting a strong regional focus on food redistribution.",31,31.0,False,AUDITABLE_DIRECT,exact match to evidence value 31
barcelona,pipeline,Notable Initiatives,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), with the highest concentrations in Ciutat Vella (45 FSIs), Sants-Montjuïc (31 FSIs), and Eixample (29 FSIs), reflecting a strong regional focus on food redistribution.",29,29.0,False,AUDITABLE_DIRECT,exact match to evidence value 29
barcelona,pipeline,Notable Initiatives,"Of these, 125 FSIs are classified as high-popularity, accounting for 53% of the total dataset, indicating widespread community engagement.",125,125.0,False,AUDITABLE_DIRECT,exact match to evidence value 125
barcelona,pipeline,Notable Initiatives,"Of these, 125 FSIs are classified as high-popularity, accounting for 53% of the total dataset, indicating widespread community engagement.",53%,53.0,True,AUDITABLE_DERIVED,125/237(total)*100=52.74 (within 0.55pp of 53)
barcelona,pipeline,Notable Initiatives,"Additionally, 105 FSIs actively organize events, suggesting a significant emphasis on public participation and outreach in the city’s food sharing landscape.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,pipeline,Notable Initiatives,"While 12 FSIs incorporate educational components, such as workshops or training programs, this represents only 5% of the total, highlighting a disparity between educational and event-driven initiatives.",12,12.0,False,AUDITABLE_DIRECT,exact match to evidence value 12
barcelona,pipeline,Notable Initiatives,"While 12 FSIs incorporate educational components, such as workshops or training programs, this represents only 5% of the total, highlighting a disparity between educational and event-driven initiatives.",5%,5.0,True,AUDITABLE_DERIVED,11/237(total)*100=4.64 (within 0.55pp of 5)
barcelona,pipeline,Notable Initiatives,"In contrast, the 105 event-organizing FSIs are over eight times more numerous, underscoring a citywide preference for interactive and community-based activities.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,baseline,(title/intro),"A multimodal, source-grounded review of 261 candidate URLs using the supplied approximate coordinates.",261,261.0,False,AUDITABLE_DIRECT,exact match to evidence value 261
barcelona,baseline,Geographic Distribution,"The 44 retained initiatives are distributed across all major parts of Barcelona, with the largest concentration in Sants-Montjuïc.",44,44.0,False,AUDITABLE_DIRECT,exact match to evidence value 44
barcelona,baseline,Geographic Distribution,"Ciutat Vella contains Foodcoop BCN cooperative supermarket Esperança Barcelona meal preparation Nevera Solidària Espai 210 Fundació Canpedró five retained initiatives, among them Ágape Intercultural in the Raval, Esperança Barcelona and Sant’Egidio dining room.",210,210.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Types of Food Sharing Initiatives,"Consumer cooperatives and social groceries form the largest category, with 15 of the 44 retained initiatives.",15,15.0,False,AUDITABLE_DERIVED,sum(2+13)=15
barcelona,baseline,Types of Food Sharing Initiatives,"Consumer cooperatives and social groceries form the largest category, with 15 of the 44 retained initiatives.",44,44.0,False,AUDITABLE_DIRECT,exact match to evidence value 44
barcelona,baseline,Types of Food Sharing Initiatives,This group ranges from small neighbourhood cooperatives such as Borronets with 17 families and La Tòfona with 45 household units to the public-facing Foodcoop BCN supermarket.,17,17.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Types of Food Sharing Initiatives,This group ranges from small neighbourhood cooperatives such as Borronets with 17 families and La Tòfona with 45 household units to the public-facing Foodcoop BCN supermarket.,45,45.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"The largest current reach figure is published by Rebost Solidari de Gràcia, which reports 737 families served fortnightly and almost 4,000 people reached over a month.",737,737.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"The largest current reach figure is published by Rebost Solidari de Gràcia, which reports 737 families served fortnightly and almost 4,000 people reached over a month.","4,000",4000.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Nutrició Sense Fronteres reports cumulative totals since 2012 of 630,612 kilograms recovered and 1,261,000 meals distributed. Ágape Intercultural states that 40–65 fresh-food baskets are distributed every Monday.",2012,2012.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Nutrició Sense Fronteres reports cumulative totals since 2012 of 630,612 kilograms recovered and 1,261,000 meals distributed. Ágape Intercultural states that 40–65 fresh-food baskets are distributed every Monday.","630,612",630612.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Nutrició Sense Fronteres reports cumulative totals since 2012 of 630,612 kilograms recovered and 1,261,000 meals distributed. Ágape Intercultural states that 40–65 fresh-food baskets are distributed every Monday.","1,261,000",1261000.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Nutrició Sense Fronteres reports cumulative totals since 2012 of 630,612 kilograms recovered and 1,261,000 meals distributed. Ágape Intercultural states that 40–65 fresh-food baskets are distributed every Monday.",40,40.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Nutrició Sense Fronteres reports cumulative totals since 2012 of 630,612 kilograms recovered and 1,261,000 meals distributed. Ágape Intercultural states that 40–65 fresh-food baskets are distributed every Monday.",65,65.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,The Cuinem el Canvi annual dinner prepares about 200 menus with roughly 70 volunteers and around 30 local shops.,200,200.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,The Cuinem el Canvi annual dinner prepares about 200 menus with roughly 70 volunteers and around 30 local shops.,70,70.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,The Cuinem el Canvi annual dinner prepares about 200 menus with roughly 70 volunteers and around 30 local shops.,30,30.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Sant’Egidio reports 80–90 visitors on an opening day and up to 120 during cold periods, while the page states that the dining room opens twice weekly.",80,80.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Sant’Egidio reports 80–90 visitors on an opening day and up to 120 during cold periods, while the page states that the dining room opens twice weekly.",90,90.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
barcelona,baseline,Reach and Activity,"Sant’Egidio reports 80–90 visitors on an opening day and up to 120 during cold periods, while the page states that the dining room opens twice weekly.",120,120.0,False,NOT_MACHINE_AUDITABLE,no exact-sum match in evidence base
