set,metric,group,n,d,value,note
A,stratum_agreement_first_pass_SUPERSEDED,AUDITABLE_DIRECT,0,4,0.0,SUPERSEDED -- baseline rows in this stratum were scored against an evidence-base description (facts_<city>.json) the annotator was wrongly pointed at; not the ledger. Do not cite.
A,stratum_agreement_second_pass_SUPERSEDED,AUDITABLE_DIRECT,0,4,0.0,SUPERSEDED -- baseline rows in this stratum were re-annotated against a redo file whose ledger evidence_base column was never shown in the annotation interface; annotator still could not see it. Do not cite.
A,stratum_agreement_first_pass_SUPERSEDED,AUDITABLE_DERIVED,5,10,50.0,SUPERSEDED -- baseline rows in this stratum were scored against an evidence-base description (facts_<city>.json) the annotator was wrongly pointed at; not the ledger. Do not cite.
A,stratum_agreement_second_pass_SUPERSEDED,AUDITABLE_DERIVED,5,10,50.0,SUPERSEDED -- baseline rows in this stratum were re-annotated against a redo file whose ledger evidence_base column was never shown in the annotation interface; annotator still could not see it. Do not cite.
A,stratum_agreement_first_pass_SUPERSEDED,NOT_MACHINE_AUDITABLE,3,6,50.0,SUPERSEDED -- baseline rows in this stratum were scored against an evidence-base description (facts_<city>.json) the annotator was wrongly pointed at; not the ledger. Do not cite.
A,stratum_agreement_second_pass_SUPERSEDED,NOT_MACHINE_AUDITABLE,3,6,50.0,SUPERSEDED -- baseline rows in this stratum were re-annotated against a redo file whose ledger evidence_base column was never shown in the annotation interface; annotator still could not see it. Do not cite.
B,n_included,,35,40,,
B,excluded_count,UNREACHABLE_NOW,3,40,,
B,excluded_count,UNCLEAR,2,40,,
B,confusion_cell,mine=Retained|ledger=Retained,14,35,,
B,confusion_cell,mine=Retained|ledger=Discarded,7,35,,
B,confusion_cell,mine=Discarded|ledger=Retained,4,35,,
B,confusion_cell,mine=Discarded|ledger=Discarded,10,35,,
B,raw_agreement,,24,35,0.6857,
B,cohens_kappa,,,,0.3678,
B,directionality,mine_retained_ledger_discarded,7,35,,
B,directionality,mine_discarded_ledger_retained,4,35,,
B,per_city_agreement,barcelona,5,7,71.4,
B,per_city_agreement,brighton,6,7,85.7,
B,per_city_agreement,dublin,4,6,66.7,
B,per_city_agreement,london,5,8,62.5,
B,per_city_agreement,milan,4,7,57.1,
C,label_count,CORRECT_SLOT,25,25,,
C,label_count,WRONG_SLOT,0,25,,
C,label_count,UNCLEAR,0,25,,
C,misattribution_rate,,0,25,0.0,"95% CI [0.0000, 0.1372]"
C,wrong_slot_by_candidates,1,0,11,0.0,
C,wrong_slot_by_candidates,>1,0,14,0.0,
