section,summary,evidence
4d. Plausibility,"london: out-of-bbox point at (50.49, -3.75) -- url=https://www.londonfreedomseedbank.org","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 50.49 deg N, 3.75 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (50.82, -0.14) -- url=https://www.alexandrarose.org.uk/press-release-charity-urges-all-parties-to-commit-to-national-fruit-and-veg-on-prescription-programmes","falls_inside_bbox_of=brighton; 50.82 deg N, 0.14 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (50.82, -0.14) -- url=https://www.foodmatters.org/projects/food-roots-incubator","falls_inside_bbox_of=brighton; 50.82 deg N, 0.14 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (51.37, -1.0) -- url=https://www.thrive.org.uk/get-gardening/seans-story-gardening-for-connection","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 51.37 deg N, 1.00 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (51.44, -2.58) -- url=https://www.neighbourly.com/solution/product-surplus","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 51.44 deg N, 2.58 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (52.47, -2.03) -- url=https://www.yourlocalpantry.co.uk","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 52.47 deg N, 2.03 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (53.33, -6.24) -- url=https://maps.transitionnetwork.org/group/transition-newham","falls_inside_bbox_of=dublin; 53.33 deg N, 6.24 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"milan: out-of-bbox point at (45.59, 9.33) -- url=https://foodforall.charity/","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 45.59 deg N, 9.33 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"milan: out-of-bbox point at (45.46, 8.87) -- url=https://nondisolopanemagenta.it/","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 45.46 deg N, 8.87 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4f. District polygon membership,barcelona: 35 geocoded point(s) fall outside every polygon in districts.geojson,data/barcelona/districts.geojson
4f. District polygon membership,dublin: 1 geocoded point(s) fall outside every polygon in districts.geojson,data/dublin/districts.geojson
4f. District polygon membership,london: 9 geocoded point(s) fall outside every polygon in districts.geojson,data/london/districts.geojson
4f. District polygon membership,milan: 12 geocoded point(s) fall outside every polygon in districts.geojson,data/milan/districts.geojson
6. Ledger validation,barcelona: 2 ledger row(s) with neither 'Retained' nor 'Discarded' detected,"appendix_reports/report_barcelona_baseline.pdf, row_id in [238, 253]"
6. Ledger validation,barcelona: 6 ledger row(s) had no extractable candidate-column hyperlink,"appendix_reports/report_barcelona_baseline.pdf, row_id in [75, 100, 112, 187, 238, 253]"
6. Ledger validation,dublin: 1 ledger row(s) had no extractable candidate-column hyperlink,"appendix_reports/report_dublin_baseline.pdf, row_id in [27]"
6. Ledger validation,london: 1 ledger row(s) with neither 'Retained' nor 'Discarded' detected,"appendix_reports/report_london_baseline.pdf, row_id in [36]"
6. Ledger validation,london: 4 ledger row(s) had no extractable candidate-column hyperlink,"appendix_reports/report_london_baseline.pdf, row_id in [5, 36, 41, 67]"
6. Ledger validation,milan: 3 ledger row(s) had no extractable candidate-column hyperlink,"appendix_reports/report_milan_baseline.pdf, row_id in [79, 99, 135]"
